Index,Product_M2M,PartNum_Comp,PartNumber_BOM_BOM,Match,Component,Component_Description,End of Prod,Status,Life__Years,EOSL,flag_raise_in_gp,Remark,MCCB or MCSW,Input CB,AMP Trip,kAIC @ Voltage,"Rated, Trip",kVA,MFR,drop,date_greater_than,change_component_to,change_status_to,change_life_years_to,change_eosl_to
2,,MOD04968:M4 Display,MOD04968,contains,M4 Display,PCB04932,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD04990:M4 Display,MOD04990,contains,M4 Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD07591:M4 Display,MOD07591,contains,M4 Display,PCB57701,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD56134:M4 Display,MOD56134,contains,M4 Display,PCB57701,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,PCB0047:M4 Display,PCB0047,contains,M4 Display,M4 Display,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,PCB57701:M4 Display,PCB57701,contains,M4 Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,SA00011:M4 Display,SA00011,contains,M4 Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,SA-PCB0047:M4 Display,SA-PCB0047,contains,M4 Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD04457A:M4 Display,MOD04457A,contains,M4 Display,PCB57701,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD05709:M4 Display,MOD05709,contains,M4 Display,PCB04932,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD05917:M4 Display,MOD05917,contains,M4 Display,PCB04932,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,PCB04932:M4 Display,PCB04932,contains,M4 Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,SA00012:M4 Display,SA00012,contains,Monochrome Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,1/1/2015,Color Display,active,10,
2,,SA00013:M4 Display,SA00013,contains,Monochrome Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,1/1/2015,Color Display,active,10,
2,,SA00001:M4 Display,SA00001,contains,M4 Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,SA-PCB-CON-M2/3:M4 Display,SA-PCB-CON-M2/3,contains,M4 Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,98-90003-023:Monochrome Display,98-90003-023,contains,Monochrome Display,,,,,2022,TRUE,,,,,,,,,,,,,,
2,,98-90003-062:Monochrome Display,98-90003-062,contains,Monochrome Display,,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD11628:Monochrome Display,MOD11628,contains,Monochrome Display,PCB11556,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD15994:Monochrome Display,MOD15994,contains,Monochrome Display,PCB11556,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD16024:Monochrome Display,MOD16024,contains,Monochrome Display,PCB11556,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD16025:Monochrome Display,MOD16025,contains,Monochrome Display,PCB11556,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD56130:Monochrome Display,MOD56130,contains,Monochrome Display,PCB11556,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD56133:Monochrome Display,MOD56133,contains,Monochrome Display,PCB11556,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD56154:Monochrome Display,MOD56154,contains,Monochrome Display,PCB11556,,,,2022,TRUE,,,,,,,,,,,,,,
2,,PCB09507:Monochrome Display,PCB09507,contains,Monochrome Display,,,,,2022,TRUE,,,,,,,,,,,,,,
2,,PCB11556:Monochrome Display,PCB11556,contains,Monochrome Display,,,,,2022,TRUE,,,,,,,,,,,,,,
