Part_Number,Product,Description,Type
BCB06510                 ,Spare Parts,"SQ-D, 3P, 15A, 22KA",OTHER
BCB06511                 ,Spare Parts,"SQ-D, 2P, 15A, 22KA",OTHER
BCB06585                 ,Spare Parts,"3P,20A,22k/240V,SQD",OTHER
BCB08229                 ,Spare Parts,"2P,50A,22k/240V,SQD",OTHER
BCB08613                 ,Spare Parts,"2P,60A,22k/240V,SQD",OTHER
BCB11902                 ,Spare Parts,"SQ-D, 2P, 20A, 22KA",OTHER
BCB11903                 ,Spare Parts,"SQ-D, 3P, 30A, 22KA",OTHER
BCB12099                 ,Spare Parts,"SQ-D, 1P, 15A, 22KA",OTHER
BCB12367                 ,Spare Parts,"SQD, 3P, 20A, 22kAI",OTHER
BCB12443                 ,Spare Parts,"SQ-D, 1P, 20A, 22KA",OTHER
BCB12508                 ,Spare Parts,"1P,30A,35k/480V,SQD",OTHER
BCB12508                 ,Spare Parts,SQD-480V-NF-EGB-1P-,OTHER
BCB12554                 ,OTHER,SQD-480V-NF-EGB-3P-,OTHER
BCB15051                 ,Spare Parts,"SQ-D, 2P, 50A, 22KA",OTHER
BCB19050                 ,Spare Parts,SQD-480V-NF-EDB-3P-,OTHER
BCB19106                 ,Spare Parts,"1P,30A,18k/480V,SQD",OTHER
BCB20411                 ,OTHER,"30A,3P,35KAIC,480VA",OTHER
BCB57308                 ,Spare Parts,"2P,30A,22k/240V,SQD",OTHER
BCB57399                 ,Spare Parts,"1P,15A,10k/120V,SQD",OTHER
BCB57401                 ,Spare Parts,"1P,30A,10k/120V,SQD",OTHER
BCB57406                 ,Spare Parts,"2P,15A,10k/240V,SQD",OTHER
BCB57407                 ,Spare Parts,"2P,20A,10k/240V,SQD",OTHER
BCB57408                 ,Spare Parts,"2P,30A,10k/240V,SQD",OTHER
BCB57410                 ,Spare Parts,"2P,50A,10k/240V,SQD",OTHER
BCB57411                 ,Spare Parts,"2P,60A,10k/240V,SQD",OTHER
BCB57413                 ,Spare Parts,"3P,100A,10k/240V,SQ",OTHER
BCB57414                 ,Spare Parts,"3P,15A,10k/240V,SQD",OTHER
BCB57415                 ,Spare Parts,"3P,20A,10k/240V,SQD",OTHER
BCB57418                 ,Spare Parts,"3P,50A,10k/240V,SQD",OTHER
BKT14132                 ,SBR FRONT - other,"BRACKET,SEISMIC,MTG",OTHER
BKT14133                 ,SBR FRONT - other,"BRACKET,SEISMIC,MTG",OTHER
BKT18415                 ,OTHER,"LOCKING CLIP, U-CHA",OTHER
BLT0191                  ,OTHER,"#10-32,5/8"",CS,HH,S",OTHER
BLT18713                 ,OTHER,".16-32,0.75,PAN,PH,",OTHER
BLT68831                 ,OTHER,"BLT,4-40X .5L,THUMP",OTHER
BLT69909                 ,OTHER,".25-20,0.50,PAN,PH,",OTHER
BLT70133                 ,OTHER,"BOLT,M4X0.7,10,TAP,",OTHER
BLT70197                 ,OTHER,".313-18,1.00,PEM,CL",OTHER
BLTB0479                 ,OTHER,"5/16-18X1""HIGHSTREN",OTHER
Branch Circuit Breaker   ,OTHER,1 Lot of Branch Cir,OTHER
Branch Circuit Breaker   ,OTHER,"Qty (84) 1-Pole, 20",OTHER
Bus Kit                  ,OTHER,400A STS Output Bus,OTHER
BUS57994                 ,OTHER,"BRANCH,L-PLG,A/C-PH",OTHER
BUS57995                 ,OTHER,"BRANCH,L-PLG,B-PH  ",OTHER
BUS57997                 ,OTHER,"BRANCH,L-PLG,A/C-PH",OTHER
BUSB0190                 ,OTHER,"JUMPER,DG,250-400A,",OTHER
CBL00001                 ,Spare Parts,"ASY,6WRE/24AWG/SHLD",OTHER
CBL0414                  ,OTHER,EATON PXM DISPLAY C,OTHER
CBL09292                 ,OTHER,"ETHERNET CABLE,SHEI",OTHER
CHS66968-H36             ,SBR FRONT - other,"FLRSTND,1000A,STS-E",OTHER
CHS68248                 ,PDU - other,"54 X 60,PDU FLOOR S",OTHER
CKB05554                 ,Spare Parts,"SHNT TRIP,LC/LE/LI/",OTHER
CKB09704                 ,Spare Parts,"SQ.D,250A, 240 VOLT",OTHER
CKB09783                 ,OTHER,"AUX SWT,6A/24V,SQD,",OTHER
CKB09783                 ,Spare Parts,"AUX SWT,6A/24V,SQD,",OTHER
CKB11110                 ,OTHER,"HDL,T6,ROTARY,DRAW-",OTHER
CKB11600                 ,OTHER,"KEY LOCKS,T6,OPEN,K",OTHER
CKB11601                 ,OTHER,"KEY LOCKS,T6,OPEN,K",OTHER
CKB14125                 ,OTHER,"SQD-LLN,3P,600A MCS",OTHER
CKB14126                 ,OTHER,"SQD-LLN, 600A, 3P, ",OTHER
CKB14126                 ,Spare Parts,"SQD-LLN, 600A, 3P, ",OTHER
CKB15430                 ,OTHER,"3P,250A,18k/600V,SQ",OTHER
CKB56521                 ,Spare Parts,"AUX CONTACT,LC/LE/L",OTHER
